Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_64,n01629819,"European fire salamander, Salamandra salamandra",0.05273718759417534,0.015506692230701447,0.003968089818954468,0.026721857488155365,0.06488867104053497,0.12267275899648666,0.18649163842201233,0.2737424671649933,0.45624804496765137,0.7510687112808228,0.9101408123970032,0.9881353974342346
Image_65,n01629819,"European fire salamander, Salamandra salamandra",0.08452573418617249,0.027789555490016937,0.013403438031673431,0.03968321532011032,0.08861758559942245,0.1332758367061615,0.19531410932540894,0.297581285238266,0.44270479679107666,0.7718959450721741,0.8992547988891602,0.99000483751297
Image_66,n01629819,"European fire salamander, Salamandra salamandra",0.0982847511768341,0.05288354307413101,0.04307781159877777,0.07867670059204102,0.12098971009254456,0.17830929160118103,0.2331770360469818,0.31281208992004395,0.4862387776374817,0.8253369927406311,0.9370641112327576,0.9900020360946655
Image_67,n01629819,"European fire salamander, Salamandra salamandra",0.09704802185297012,0.02583889104425907,0.015303030610084534,0.04957815259695053,0.1056959480047226,0.13694480061531067,0.19762153923511505,0.27706217765808105,0.44553276896476746,0.804206132888794,0.9441646933555603,0.9902745485305786
Image_68,n01629819,"European fire salamander, Salamandra salamandra",0.07604119181632996,0.037008099257946014,0.020442496985197067,0.043860793113708496,0.0802370011806488,0.12968821823596954,0.20431256294250488,0.29917988181114197,0.4582287073135376,0.813249409198761,0.9299639463424683,0.9904237985610962
Image_69,n01629819,"European fire salamander, Salamandra salamandra",0.1298021823167801,0.07975003868341446,0.09393312782049179,0.11010544747114182,0.16372370719909668,0.21610808372497559,0.283818781375885,0.3654000759124756,0.5034371614456177,0.8381623029708862,0.9501436948776245,0.9886995553970337
Image_70,n01629819,"European fire salamander, Salamandra salamandra",0.09920577704906464,0.0746854618191719,0.036718789488077164,0.05340130999684334,0.10037895292043686,0.13729165494441986,0.19243526458740234,0.2722030580043793,0.4244925081729889,0.7479814291000366,0.9160059094429016,0.9895008206367493
Image_71,n01629819,"European fire salamander, Salamandra salamandra",0.06086239218711853,0.040563587099313736,0.004523478448390961,0.0200173482298851,0.05823928490281105,0.09997373074293137,0.16693195700645447,0.26098543405532837,0.44861507415771484,0.7803744673728943,0.9184571504592896,0.9900380373001099
Image_72,n01629819,"European fire salamander, Salamandra salamandra",0.07145381718873978,0.03189753741025925,0.033321842551231384,0.0665464997291565,0.1176982969045639,0.16215002536773682,0.22670495510101318,0.3204096555709839,0.48009681701660156,0.7949049472808838,0.9277471303939819,0.9898887872695923
Image_73,n01629819,"European fire salamander, Salamandra salamandra",0.057920921593904495,0.023500457406044006,-0.005555272102355957,0.02699919044971466,0.05910276621580124,0.09903538227081299,0.16032946109771729,0.262443482875824,0.44221657514572144,0.780383825302124,0.9125003814697266,0.9896892309188843
