class,layer,change_rate,type,rank
barn,21,0.262256058678031,critical,1
barn,22,0.20110628541558978,critical,2
barn,20,0.03439268248155715,critical,3
barn,1,-inf,least_critical,1
barn,4,-inf,least_critical,2
barn,5,-inf,least_critical,3
"barrel, cask",23,0.25149481465516144,critical,1
"barrel, cask",20,0.1297941689216532,critical,2
"barrel, cask",21,0.09826902781147509,critical,3
"barrel, cask",2,-inf,least_critical,1
"barrel, cask",4,-inf,least_critical,2
"barrel, cask",5,-inf,least_critical,3
basketball,22,0.4436324273049831,critical,1
basketball,19,0.30008342602523047,critical,2
basketball,18,0.09551109509746313,critical,3
basketball,1,-inf,least_critical,1
basketball,3,-inf,least_critical,2
basketball,4,-inf,least_critical,3
"bathtub, bathing tub, bath, tub",23,0.3276192423491739,critical,1
"bathtub, bathing tub, bath, tub",22,0.15728581637842584,critical,2
"bathtub, bathing tub, bath, tub",21,0.08427982693479866,critical,3
"bathtub, bathing tub, bath, tub",1,-inf,least_critical,1
"bathtub, bathing tub, bath, tub",2,-inf,least_critical,2
"bathtub, bathing tub, bath, tub",4,-inf,least_critical,3
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",23,0.35812282791361216,critical,1
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",22,0.2507634434406646,critical,2
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",17,0.07427965528331698,critical,3
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",2,-inf,least_critical,1
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",7,-inf,least_critical,2
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",11,-inf,least_critical,3
"beacon, lighthouse, beacon light, pharos",23,0.4123547437787056,critical,1
"beacon, lighthouse, beacon light, pharos",22,0.3931748947268352,critical,2
"beacon, lighthouse, beacon light, pharos",20,0.05304795215954075,critical,3
"beacon, lighthouse, beacon light, pharos",1,-inf,least_critical,1
"beacon, lighthouse, beacon light, pharos",6,-inf,least_critical,2
"beacon, lighthouse, beacon light, pharos",14,-inf,least_critical,3
beaker,23,0.09892626439162999,critical,1
beaker,22,0.06794365032808856,critical,2
beaker,21,0.05335264569788705,critical,3
