Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23
Image_51,0.44541120529174805,0.45385506749153137,0.4751581847667694,0.48209524154663086,0.4814550280570984,0.4882636070251465,0.48832017183303833,0.4965527653694153,0.5065789818763733,0.5146620273590088,0.5298198461532593,0.528937578201294,0.5679528117179871,0.5586777329444885,0.5934128761291504,0.635234534740448,0.6410325765609741,0.6777358055114746,0.6979972720146179,0.7332850098609924,0.7604696750640869,0.8216670155525208,0.891381561756134,1.0000001192092896
Image_52,0.4638247489929199,0.4653267562389374,0.49026602506637573,0.4951809346675873,0.5048196911811829,0.5221909284591675,0.517017662525177,0.5224574208259583,0.527539849281311,0.5403556227684021,0.5388740301132202,0.5414435267448425,0.5616201162338257,0.546838641166687,0.5845969319343567,0.6246535778045654,0.636239767074585,0.6954416632652283,0.7132009863853455,0.7363578677177429,0.7898920178413391,0.8377147316932678,0.876760721206665,1.0
Image_53,0.4716827869415283,0.4763140082359314,0.5001944899559021,0.506528377532959,0.5132917165756226,0.5302674770355225,0.5259313583374023,0.5391186475753784,0.5491951704025269,0.568261444568634,0.5655651688575745,0.569560170173645,0.5696244835853577,0.5784407258033752,0.6199406981468201,0.6467334032058716,0.6708942651748657,0.7036339044570923,0.7312103509902954,0.76513671875,0.8076941967010498,0.8613970875740051,0.8918197751045227,0.9999999403953552
Image_54,0.43901970982551575,0.4476932883262634,0.4655154347419739,0.4762105345726013,0.4850969612598419,0.4996047914028168,0.5025635957717896,0.5106126666069031,0.5262671113014221,0.5353960990905762,0.5367341041564941,0.5553591847419739,0.590541422367096,0.60612952709198,0.6186968684196472,0.6494482755661011,0.6589935421943665,0.695573627948761,0.7110487222671509,0.7478716969490051,0.7828205823898315,0.8306384086608887,0.9018321633338928,1.0000001192092896
Image_55,0.43486833572387695,0.4453376233577728,0.46829119324684143,0.4734707772731781,0.47240540385246277,0.4886747896671295,0.4958534836769104,0.5070363283157349,0.5264129638671875,0.5330565571784973,0.5231068730354309,0.5178859829902649,0.5336135625839233,0.5574451088905334,0.6004717350006104,0.6378232836723328,0.6484988927841187,0.6833444237709045,0.7052387595176697,0.7363480925559998,0.7923750281333923,0.839954674243927,0.8829877972602844,1.0000001192092896
Image_56,0.47089266777038574,0.4797394573688507,0.500512957572937,0.5019150376319885,0.5028703212738037,0.5173694491386414,0.511567234992981,0.5231468081474304,0.5412435531616211,0.5598989129066467,0.5514938235282898,0.5543789267539978,0.5548626184463501,0.5404989719390869,0.5892751216888428,0.621468722820282,0.6296892166137695,0.6781957149505615,0.7012091875076294,0.7356083989143372,0.774327278137207,0.8226220607757568,0.8869121074676514,1.000000238418579
Image_57,0.37835708260536194,0.38826626539230347,0.4050946533679962,0.4117310047149658,0.42483365535736084,0.4522548019886017,0.459735631942749,0.47356879711151123,0.4919174015522003,0.5181541442871094,0.519361138343811,0.529701828956604,0.5508996248245239,0.5577414631843567,0.5851966738700867,0.6107221841812134,0.635101318359375,0.688378632068634,0.7051944732666016,0.7351233959197998,0.7627509236335754,0.8163540363311768,0.8625724911689758,0.9999998807907104
Image_58,0.4655924141407013,0.47783374786376953,0.4936217963695526,0.501808226108551,0.5045291185379028,0.5118758082389832,0.5108016133308411,0.5123284459114075,0.518933892250061,0.5298593640327454,0.5254402160644531,0.5098484754562378,0.5381959676742554,0.5290569067001343,0.5732048153877258,0.6201299428939819,0.638606071472168,0.685753345489502,0.709723174571991,0.7379531860351562,0.7890815734863281,0.8452478647232056,0.8952829837799072,1.000000238418579
Image_59,0.4448384940624237,0.45175692439079285,0.47226274013519287,0.4792458415031433,0.4872255027294159,0.5064943432807922,0.5129851698875427,0.5222374200820923,0.5290044546127319,0.5515103340148926,0.5503826141357422,0.5517420172691345,0.5697953104972839,0.5697317719459534,0.6041558980941772,0.642270565032959,0.643757700920105,0.6906550526618958,0.7033263444900513,0.7404171824455261,0.7813966274261475,0.8294969797134399,0.8798960447311401,1.0
Image_60,0.43225643038749695,0.44218483567237854,0.4634236991405487,0.47340333461761475,0.4829765856266022,0.5000841021537781,0.5067235231399536,0.5174993872642517,0.5321189165115356,0.544967770576477,0.5450718998908997,0.5758708119392395,0.6004229784011841,0.6193712949752808,0.6470845341682434,0.6592488288879395,0.6732485294342041,0.7143005728721619,0.7214032411575317,0.7544873356819153,0.7675888538360596,0.8309586048126221,0.8841851949691772,0.9999999403953552
Image_61,0.3496410846710205,0.35684317350387573,0.3676471710205078,0.37564903497695923,0.38812777400016785,0.4044089615345001,0.4161413609981537,0.42250609397888184,0.44492262601852417,0.46394845843315125,0.4717996120452881,0.4827534258365631,0.48572874069213867,0.5106290578842163,0.538872480392456,0.5815327167510986,0.6107004880905151,0.6564527750015259,0.6749286651611328,0.7159727215766907,0.7307045459747314,0.8031668066978455,0.838000476360321,1.0000001192092896
