Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_85,-0.008289359509944916,-0.03367015719413757,-0.037297774106264114,-0.02718222141265869,-0.00026591867208480835,0.04848866909742355,0.08143877983093262,0.15210691094398499,0.2883884906768799,0.6317417621612549,0.855840265750885,0.961729884147644
Image_86,-0.005960326641798019,-0.009147167205810547,-0.016682222485542297,-0.0006179511547088623,0.042503125965595245,0.09701763093471527,0.13667689263820648,0.19666460156440735,0.3366672098636627,0.6683407425880432,0.8590326309204102,0.9348604679107666
Image_87,-0.014206591993570328,-0.0024253949522972107,-0.007300414144992828,0.008919857442378998,0.03880349546670914,0.08265580981969833,0.1269364356994629,0.18945413827896118,0.36553531885147095,0.6867023706436157,0.8493759036064148,0.9204878211021423
Image_88,-0.005336221307516098,-0.02237623557448387,-0.00806313008069992,-0.007081620395183563,0.021541118621826172,0.07326679676771164,0.11323858797550201,0.18429110944271088,0.33973824977874756,0.6420302391052246,0.858765184879303,0.9538155198097229
Image_89,0.01677045226097107,0.049615588039159775,0.07105887681245804,0.07425110042095184,0.11790166795253754,0.17689841985702515,0.23551255464553833,0.3149448037147522,0.5023306012153625,0.7921333312988281,0.8924993872642517,0.9337978959083557
Image_90,-0.02075818181037903,-0.011545948684215546,-0.030458256602287292,-0.023544371128082275,-0.0009638592600822449,0.05605657398700714,0.092774398624897,0.1755453646183014,0.32393360137939453,0.6770517826080322,0.8741122484207153,0.9570183753967285
Image_91,0.013001468032598495,0.01448407769203186,0.00919303297996521,0.021597877144813538,0.05738629400730133,0.10153942555189133,0.1480454057455063,0.20990276336669922,0.3803538680076599,0.725745677947998,0.8773379921913147,0.9055501222610474
Image_92,-0.032095249742269516,-0.03830326721072197,-0.045301325619220734,-0.04147638380527496,-0.010384716093540192,0.03250955790281296,0.0756196528673172,0.13343553245067596,0.27010828256607056,0.5983850955963135,0.8485091924667358,0.956123948097229
Image_93,0.00817183405160904,0.008487824350595474,-0.006513826549053192,0.0010108351707458496,0.03927826136350632,0.09863080829381943,0.13576747477054596,0.2010875940322876,0.3475295305252075,0.6924812197685242,0.8807373046875,0.9263426661491394
Image_94,0.05911150574684143,0.05435950309038162,0.06162974238395691,0.08010488748550415,0.10895651578903198,0.16835428774356842,0.19951322674751282,0.2604288160800934,0.42916131019592285,0.7610052824020386,0.8859537243843079,0.9008017778396606
Image_95,0.04590863734483719,0.0636107325553894,0.07230055332183838,0.08866886794567108,0.138962060213089,0.1893826127052307,0.23684506118297577,0.3072531223297119,0.45288437604904175,0.7610428333282471,0.8767703771591187,0.9190679788589478
Image_96,-0.007066264748573303,-0.007797420024871826,-0.004118233919143677,0.011245787143707275,0.04538644105195999,0.11007961630821228,0.1559586375951767,0.21349555253982544,0.35936152935028076,0.6689950227737427,0.8561222553253174,0.9486686587333679
Image_97,0.034279294312000275,0.03948473930358887,0.04076354205608368,0.06018843501806259,0.08686172962188721,0.14958760142326355,0.21088626980781555,0.2828426957130432,0.4511999487876892,0.7616015672683716,0.8983743190765381,0.9344753623008728
Image_98,0.006638523191213608,0.027719032019376755,0.059567540884017944,0.0754513218998909,0.10106324404478073,0.15385204553604126,0.19399979710578918,0.2431979924440384,0.37142741680145264,0.7371712923049927,0.9033863544464111,0.9115532636642456
Image_99,0.07645945996046066,0.03878596052527428,0.061682019382715225,0.0996154174208641,0.1331668645143509,0.17475354671478271,0.21185611188411713,0.27891865372657776,0.4237157106399536,0.7380416989326477,0.8959097862243652,0.8946776986122131
Image_100,-0.006542108952999115,-0.026535168290138245,-0.02278883010149002,-0.025001071393489838,0.008160799741744995,0.05645007640123367,0.09346379339694977,0.1529662311077118,0.2839047610759735,0.613304615020752,0.8729006052017212,0.9576045274734497
Image_101,-0.0071759819984436035,-0.01845037192106247,-0.021709442138671875,-0.01575891673564911,0.013873890042304993,0.06646186858415604,0.0965002104640007,0.17217852175235748,0.30621886253356934,0.6357557773590088,0.875237762928009,0.9660153388977051
Image_102,0.013577811419963837,0.007275570183992386,0.024101413786411285,0.027201808989048004,0.0523005872964859,0.10088858008384705,0.1455458551645279,0.2110290676355362,0.359223872423172,0.7244048714637756,0.8923918604850769,0.9110903739929199
Image_103,-0.031569913029670715,0.001769673079252243,0.0257854126393795,0.04790888726711273,0.08330561965703964,0.13149121403694153,0.18145622313022614,0.24242806434631348,0.39443162083625793,0.7199855446815491,0.8805074691772461,0.9018802642822266
Image_104,0.028115414083003998,0.03400623798370361,0.04387793689966202,0.06583276391029358,0.11433213949203491,0.16652731597423553,0.22144845128059387,0.27964717149734497,0.43743911385536194,0.7521668672561646,0.8970364332199097,0.9009783864021301
Image_105,-0.014890652149915695,0.024358555674552917,0.026634369045495987,0.0408843532204628,0.07487089186906815,0.1350087821483612,0.17625842988491058,0.25407230854034424,0.41778087615966797,0.720678985118866,0.8877586126327515,0.9407140612602234
Image_106,-0.0020811893045902252,0.03589945286512375,0.05253906175494194,0.0686032623052597,0.1098945215344429,0.1539909839630127,0.1849016696214676,0.24426360428333282,0.41321468353271484,0.7539670467376709,0.893201470375061,0.9118037223815918
Image_107,-0.012396547943353653,-0.022507458925247192,-0.022403299808502197,-0.011230967938899994,0.025421902537345886,0.08589106798171997,0.1218547523021698,0.1866600662469864,0.32505035400390625,0.6316164135932922,0.8593896627426147,0.9558054208755493
Image_108,0.011525429785251617,0.0048439763486385345,0.03735572099685669,0.03633726388216019,0.07697632908821106,0.14740562438964844,0.19529657065868378,0.27211055159568787,0.44087815284729004,0.718816339969635,0.8693022727966309,0.9234597682952881
Image_109,0.02054596319794655,0.024547528475522995,0.025028623640537262,0.04037407040596008,0.0769515186548233,0.148186594247818,0.18239173293113708,0.2441951185464859,0.3997368812561035,0.7000159025192261,0.8880361914634705,0.9431074857711792
Image_110,-0.021076276898384094,-0.004768051207065582,0.011629261076450348,0.016019023954868317,0.05450845882296562,0.12199042737483978,0.16325204074382782,0.24317850172519684,0.41584670543670654,0.7620517015457153,0.888828694820404,0.9027993679046631
Image_111,0.030935805290937424,0.05754078924655914,0.06904009729623795,0.05796054005622864,0.08148464560508728,0.12459420412778854,0.16805653274059296,0.2370338886976242,0.37147217988967896,0.7038562893867493,0.8844403624534607,0.9407085180282593
Image_112,-0.0012949667870998383,-0.0012994185090065002,-0.005632296204566956,0.00862409919500351,0.04022351652383804,0.0899428278207779,0.13055019080638885,0.20424455404281616,0.35540783405303955,0.6751035451889038,0.8480163812637329,0.9499152898788452
Image_113,-0.043709177523851395,-0.04581871256232262,-0.02551230788230896,-0.01931723952293396,0.006571061909198761,0.05376704782247543,0.08651788532733917,0.16365791857242584,0.31409478187561035,0.6707115173339844,0.8879686594009399,0.962255597114563
Image_114,0.07233744859695435,0.06615529954433441,0.06370721757411957,0.06879238784313202,0.11979660391807556,0.16211484372615814,0.20662270486354828,0.25776463747024536,0.3985958695411682,0.7087982296943665,0.8836999535560608,0.8778923749923706
Image_115,0.014197111129760742,0.027055419981479645,0.022489532828330994,0.03962337225675583,0.07424794137477875,0.1127292811870575,0.1529357135295868,0.2173946648836136,0.40164268016815186,0.7560734748840332,0.8986512422561646,0.8975062370300293
Image_116,0.022582657635211945,0.028730764985084534,0.029260311275720596,0.0447276309132576,0.08451300114393234,0.13504108786582947,0.1767052710056305,0.2396143227815628,0.4211006164550781,0.7421631813049316,0.891205906867981,0.9360818862915039
Image_117,-0.0030729882419109344,0.004668977111577988,0.013956382870674133,0.03154522925615311,0.06521889567375183,0.10366685688495636,0.14650045335292816,0.20098821818828583,0.34665417671203613,0.649846076965332,0.8625878095626831,0.9343618750572205
Image_118,0.03455790877342224,0.04980745539069176,0.058467939496040344,0.05931297689676285,0.09528645873069763,0.17249664664268494,0.2126845419406891,0.29094675183296204,0.4872553050518036,0.8080062866210938,0.9100707769393921,0.9290857911109924
